houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
87,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",31706000.0,3.0,3.0,247.4,92.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
88,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner Unit (ROSE),1675000.0,1.0,1.0,44.0,40.0,14.8279751,121.0003891,Santa Maria-San Jose Rd. Bulac,Santa Maria
89,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28804000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
90,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | GABRIELLE Model",6650000.0,3.0,2.0,84.0,120.0,14.4084522,120.8964956,Alapan Ii-A,Imus
91,"Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,Caingin,San Rafael
92,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28678000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
93,"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model",1837500.0,2.0,2.0,52.5,154.0,15.0941848,120.6701583,Km.71,North Luzon Expressway Panipuan
94,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",27676000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
95,"2BR Townhouse for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, TH53",4000000.0,2.0,1.0,53.0,52.0,13.9984308,121.1674592,Bugtong Na Pulo,Lipa
96,"Ready For You: 1BR SA House and Lot (Ananda) for Sale in Compostela, Cebu at Amoa at Php 90,416 monthly amortization",5580000.0,1.0,1.0,,,10.4382884,123.9947249,Tamiao,Compostela
97,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | THEA Model",2632250.0,3.0,2.0,60.0,50.0,14.4084522,120.8964956,Alapan Ii-A,Imus
98,"4-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | OLIVE Model",5337920.0,4.0,2.0,80.0,120.0,10.7529006,122.5376029,Ungka Ii,Pavia
99,"3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ALICE Model",2292960.0,3.0,1.0,40.0,40.0,14.4129793,120.8886677,San Sebastian,Kawit
100,"3BR 2-Storey Single Attached House and Lot for Sale in Tanza, Cavite | Las Brisas at Tierra del Sol",4337472.0,3.0,2.0,112.5,72.0,14.2914142,120.8302984,Governor'S Dr. Tanauan,Tanza
101,"For Sale 3BR 2-Storey Single Attached House and Lot in Tanza, Cavite | Las Brisas at Tierra del Sol",4337472.0,3.0,2.0,112.5,72.0,14.2914142,120.8302984,Governor'S Dr. Tanauan,Tanza
102,"2BR 2-Storey Townhouse for Sale in Brgy. Caypombo, Santa Maria, Bulacan at Las Palmas",2178000.0,2.0,1.0,44.0,36.0,14.85169485,120.9793768,Cay Pombo,Santa Maria
103,"2BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model",3600000.0,2.0,2.0,48.3,50.0,7.1035383,125.4948467,Tugbok,Davao
104,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence",2839149.0,3.0,1.0,45.0,62.0,14.366749,120.8184475,Antero Soriano Highway Sahud Ulan,Tanza
105,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | THEA Model",2632250.0,3.0,2.0,60.0,50.0,14.3723207,120.8976745,Pasong Camachile I,General Trias
106,"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial",1837500.0,2.0,2.0,52.5,,15.0874959,120.6742393,San Rafael,Mexico
